0065	Wristband
0327	Cats Claw
0328	Lizard Tail
0329	Porcu-Spine
032A	Electric Eel
032B	Cobra Fang
032C	Spiked Shell
032D	Wolf Fang
032E	Tentacles
032F	Vampire Fang
0330	Gorilla Foot
0331	Lionheart
0332	Bear Claw
0333	Tiger Fang
0334	Panda Claw
0335	Nessie Attack
0336	Medusa Eye
0337	Brocken
0338	Demons Hand
0339	Fiendish Claw
033A	Primal Force
033B	Goblins Fury
033C	Mystic Eye
033D	Geo Saber
033E	Destroy
033F	Lightning Fang
0340	Dragon Tooth
0341	Enigma
0342	Orichalch Claw
0343	El Dorado
0344	Dragon Heart
0345	Belial Force
0346	Amon Force
0347	Lucifer Force
0348	Nyanko Soul
0349	Nemesis
034A	Nemesis Mk-II
03E9	Amulet
03EA	Protector
03EB	Bulletproof Vest
03EC	Fancy Lid
03ED	Leather Jacket
03EE	Chain Mail
03EF	Dimensional Cape
03F0	Power Jacket
03F1	Bushido Armor
03F2	Magic Vest
03F3	Muscle Armor
03F4	Steel Armor
03F5	Fur Coat
03F6	Dandy Gown
03F7	Stealth Cape
03F8	Stinky Jacket
03F9	Ghost Cape
03FA	Prophets Robe
03FB	Silver Tux
03FC	Gritty Vest
03FD	Mistral Armor
03FE	Jupiters Armor
03FF	Cactus Armor
0400	Hero Cape
0401	Gold Tux
0402	Reapers Cloak
0403	Black Armor
0404	Nine Tail Fur
0405	Platinum Tux
0406	Dragon Jacket
0407	Orichalch Shield
0408	Bahamuts Scale
0409	Evil Armor
040A	Shield of Aegis
040B	Celestial Armor
040C	Infernal Cape
040D	Infernal Shield
040E	Infernal Armor
040F	Nirvana
0410	Super Robo Suit
044D	Quasi-Power Belt
044E	Power Belt
044F	Endeavor Belt
0450	Belt of Will
0451	Mega-Power Belt
0452	Monster Belt
0453	Super Belt
0454	Steel Belt
0455	Aura Belt
0456	Love Belt
0457	Spirit Belt
0458	Hero Belt
0459	Soul Belt
045A	Training Belt
045B	Bravery Belt
045C	Guts Belt
045D	Shaolin Belt
045E	Black Belt
045F	Chakra Belt
0460	Champion Belt
04B1	Slippers
04B2	Cross-Trainers
04B3	Ninja Shoes
04B4	Falcon Shoes
04B5	Angels Sandals
04B6	Accelerator
04B7	Hyperdrive
0515	Common Orb
0516	Psyche Orb
0517	Dark Orb
0518	Blood Orb
0519	Star Orb
051A	Moon Orb
051B	King Orb
051C	Holy Orb
051D	Chaos Orb
051E	Universal Orb
0579	Common Glasses
057A	Magnifying Glass
057B	Nerd Glasses
057C	Plastic Nose
057D	Opera Glasses
057E	Nightvision
057F	Crosshair Scope
0580	Foresight
0581	Destiny Lens
0582	Providence
05DD	Muscle Brawn
05DE	Muscle Hustle
05DF	Muscle Spirit
05E0	Muscle Fight
05E1	Muscle Ace
05E2	Muscle Victory
05E3	Muscle Dream
05E4	Muscle World
05E5	Muscle Star
05E6	Galactic Muscle
0709	Horse Wiener
070A	Mahoganys Brain
070B	Hercules Body
070C	Gaos Guts
070D	Crowdias Beauty
070E	Myao's Cat Ears
070F	Prinny Costume
0710	Astro Suit
0711	Felicitacion
0712	Oracle
076D	Imperial Seal
076E	Dark Rosary
076F	Devil Ring
0770	Feather Token
0771	Sofias Mirror
0772	Pravda Necklace
0773	Royal Ring
0774	Testament
0775	Exodus
0776	Arcadia
07D1	ABC Gum
07D2	Mint Gum
07D3	Candy
07D4	Cotton Candy
07D5	Taiyaki
07D6	Chocolate
07D7	Flan
07D8	Eclair
07D9	Shortcake
07DA	Sundae
07DB	Opened Drink
07DC	Unopened Drink
07DD	Garlic Water
07DE	Yam Starch
07DF	Barbeque Sauce
07E0	Egg Yolk
07E1	Protein Shake
07E2	Bloody Mary
07E3	Sake
07E4	Mushroom Soup
07EF	Dried Worm
07F0	Caterpillar Egg
07F1	Charred Newt
07F2	Rooster Blood
07F3	Snake Kidney
07F4	Bat Soup
07F5	Frog Sweat
07F6	Immortals Pill
07F7	Soma
07F8	Elixir
07F9	Veggie Burger
0803	Faerie Dust
0835	Stealing Hand
0836	Plunder Hand
0837	Cha-Ching Hand
0838	Bandits Hand
0839	Awesome Hand
083A	Dream Hand
0899	Mr. Gency's Exit
