65	Battle Basics
DB0	Sea of Gehenna - Inferno (Etna Mode)
DB1	Sea of Gehenna - River of Lava (Etna Mode)
E11	Jotunheim - Endless White (Etna Mode)
E12	Jotunheim - Terrible Cold (Etna Mode)
E13	Jotunheim - Ice Queen (Etna Mode)
E14	Jotunheim - Absolute Zero (Etna Mode)
E75	Grand North - Ice Beast Gate (Etna Mode)
E76	Grand North - Frost Castle (Etna Mode)
E77	Grand North - Millennium Ice (Etna Mode)
13ED	Dark Castle (1)
13EE	Dark Castle (2)
13EF	Dark Castle (3)
13F0	Dark Castle (4)
13F1	Dark Castle (5)
13F2	Dark Castle (6)
5209	Dark Assembly - Local Forum
520A	Dark Assembly - Exam for Rank 1
520B	Dark Assembly - Exam for Rank 2
520C	Dark Assembly - Exam for Rank 3
520D	Dark Assembly - Exam for Rank 4
520E	Dark Assembly - Exam for Rank 5
520F	Dark Assembly - Exam for Rank 6
5210	Dark Assembly - Exam for Rank 7
5211	Dark Assembly - Exam for Rank 8
5212	Dark Assembly - Exam for Rank 9
5213	Dark Assembly - Exam for Rank 10
5214	Dark Assembly - Exam for Rank 11
