# Sprite IDs, probably race IDs too?
# Ordered by ID
# Story characters
0001	Laharl
097E	Uber-Prinny Baal
09C4	Mid-Boss 1
09CE	Mid-Boss 2
09D8	Mid-Boss 3
09E2	Mid-Boss 4
09EC	Vyers
09F6	Maderas
0A0A	Vulcanus
0A14	Lamington
0A1E	Kurtis
0A28	Don Joaquin
0A32	Prism Red
0A33	Prism Blue
0A34	Prism Yellow
0A35	Astro Carter
0A36	Astro-One
0A37	Astro-Two
# Item World junk
0A8C	Item-God
0AF0	Geo-Symbol
# Castle NPCs
0B54	Ghost
0B55	Ghoss
0B56	Gargo
0B57	Manty
0B58	Goleck
0B59	Dratti
0B5A	Zommie
0B5B	Gatekeeper
0B5C	Extra
0B5D	Item World
0B5E	Weapon Shop
0B5F	Battle Depot
0B60	Hospital
0B61	Pleinair
0B62	Save Shop
0B63	Music Shop
0B64	Communicator
0B65	Dimension Phone
# Extra bosses/characters
0BB8	Priere
0BC2	Marjoly
0BCC	Adell
0BD6	Rozalin
0BE0	Zetta
0BEA	Antoire
0BF4	Dark-Flonne
# NPCs again. Etna mode?
0BFE	Ghoss
0C08	Gargo
0C12	Manty
0C1C	Goleck
0C26	Dratti
0C30	Zommie
0C3A	Shark King
0C44	True Overlord
0C4E	Serra Winguar
0C58	Vesuvius
0C62	Dark Durian
0C6C	Flonne
0C76	Doll
0C80	Tyrant Spirit
0C81	Level Sphere
0C82	Soul Pod
# ??????
1388	Weapon
1395	Spirit
1397	Thunder
139A	Flower
139D	Mark
139E	Redact
13A0	Blueact
13A1	Yelloact
139F	Entei
# Cutscene sprites
13EE	LhRage
13EF	LhLaugh
13F0	LhDamb
13F1	LhShock
13F2	LhAngry
13F3	LhHand
13F5	LhGaze
13F6	LhNod
13F7	LhAnger
13F8	LhShy
1451	EtAmaze
1452	EtHuff
1453	EtRage
1454	EtChance
1455	EtWonder
1456	EtRot
1458	EtWell
1459	EtLazy
145A	EtShy
14B5	FlTilt
14B6	FlEyesOnFire
14B7	FlHaste
14B8	FlShock
14B9	FlUpHand
14BB	FlBow
14BC	FlHand
150E	FlFAngel
1519	GdLaugh
151A	GdFervor
151B	GdGo
151C	GdShock
151D	GdWell
157D	JnKneel
15D6	JnRevamp
1645	PrShockF
1646	PrShockB
1647	PrLazyF
1648	PrLazyB
1649	PrHasteF
164A	PrHasteB
164B	PrShHand
164C	PrSalute
164D	PrDumb
164E	PrThink
164F	PrAkanbe
1650	PrHorn
1651	PrLeapF
1652	PrLeapB
1653	PrUpHand
1654	PrTrip
1655	PrDoll
1656	MPrDoll
16A9	BsHan
16AA	BsSwathe
1771	Laminton
19C9	Carter
1A2D	Laharl's Mother
3500	Mascot
